order_id,order_date,order_hour,channel_code,channel_name,sku,product_name,category,list_price,unit_price,discount_rate,qty,amount,commission_rate,region,order_status
TIKT-260501-0001,2026-05-01,10:00,TIKT,틱톡샵(US),GLF-GG-05,글루 글로스 / 05 메이플 글레이즈,립,16000,15200,0.05,1,15200,0.06,US-NY,배송완료
ZLR-260501-0001,2026-05-01,02:00,ZLR,ZALORA(동남아),GLF-GG-04,글루 글로스 / 04 피치 우즈,립,16000,15200,0.05,1,15200,0.22,말레이시아,배송완료
ZLR-260501-0001,2026-05-01,02:00,ZLR,ZALORA(동남아),GLF-GG-03,글루 글로스 / 03 체리 구,립,16000,16000,0,1,16000,0.22,말레이시아,배송완료
TIKT-260501-0002,2026-05-01,19:00,TIKT,틱톡샵(US),GLF-GG-07,글루 글로스 / 07 모브 구미,립,16000,14400,0.1,1,14400,0.06,US-NY,배송완료
TIKT-260501-0003,2026-05-01,22:00,TIKT,틱톡샵(US),GLF-HS-06,휴 스프레드 스틱 / 06 정크,멀티,18000,16200,0.1,1,16200,0.06,US-TX,배송완료
TIKT-260501-0004,2026-05-01,12:00,TIKT,틱톡샵(US),GLF-GG-02,글루 글로스 / 02 소미 허니,립,16000,14400,0.1,1,14400,0.06,US-TX,배송완료
MUSI-260501-0001,2026-05-01,22:00,MUSI,무신사,GLF-GG-08,글루 글로스 / 08 스파이시 신,립,16000,15200,0.05,1,15200,0.25,서울,배송완료
MUSI-260501-0001,2026-05-01,22:00,MUSI,무신사,GLF-GG-08,글루 글로스 / 08 스파이시 신,립,16000,15200,0.05,1,15200,0.25,서울,배송완료
DTC-260501-0001,2026-05-01,13:00,DTC,자사몰,GLF-GG-08,글루 글로스 / 08 스파이시 신,립,16000,14400,0.1,1,14400,0.034,부산,배송완료
TIKT-260501-0005,2026-05-01,19:00,TIKT,틱톡샵(US),GLF-IL-MN,일루에뜨 하이라이터 미니,베이스,27000,24300,0.1,1,24300,0.06,US-FL,배송중
TIKT-260501-0006,2026-05-01,14:00,TIKT,틱톡샵(US),GLF-GG-05,글루 글로스 / 05 메이플 글레이즈,립,16000,16000,0,1,16000,0.06,US-NY,배송완료
TIKT-260501-0006,2026-05-01,14:00,TIKT,틱톡샵(US),GLF-GG-05,글루 글로스 / 05 메이플 글레이즈,립,16000,14400,0.1,1,14400,0.06,US-NY,배송완료
TIKT-260501-0006,2026-05-01,14:00,TIKT,틱톡샵(US),GLF-LL-03,글루 립라이너 / 03 머드 허그,립,16000,16000,0,1,16000,0.06,US-NY,배송완료
ZLR-260501-0002,2026-05-01,12:00,ZLR,ZALORA(동남아),GLF-GG-02,글루 글로스 / 02 소미 허니,립,16000,16000,0,1,16000,0.22,싱가포르,배송완료
ZLR-260501-0002,2026-05-01,12:00,ZLR,ZALORA(동남아),GLF-GG-07,글루 글로스 / 07 모브 구미,립,16000,16000,0,1,16000,0.22,싱가포르,배송완료
ZLR-260501-0003,2026-05-01,07:00,ZLR,ZALORA(동남아),GLF-HS-01,휴 스프레드 스틱 / 01 코이코이,멀티,18000,18000,0,1,18000,0.22,필리핀,배송완료
DTC-260501-0002,2026-05-01,19:00,DTC,자사몰,GLF-GG-06,글루 글로스 / 06 밍글루,립,16000,16000,0,1,16000,0.034,서울,배송완료
ZLR-260501-0004,2026-05-01,19:00,ZLR,ZALORA(동남아),GLF-GG-06,글루 글로스 / 06 밍글루,립,16000,16000,0,1,16000,0.22,말레이시아,배송완료
DTC-260501-0003,2026-05-01,16:00,DTC,자사몰,GLF-GG-05,글루 글로스 / 05 메이플 글레이즈,립,16000,14400,0.1,1,14400,0.034,서울,배송중
TIKT-260501-0007,2026-05-01,16:00,TIKT,틱톡샵(US),GLF-GG-02,글루 글로스 / 02 소미 허니,립,16000,16000,0,1,16000,0.06,US-FL,배송완료
